0,0,0
-0.0077421,0.0021316,0.003401
-0.0072528,0.0024794,0.0017108
-0.0073741,0.0028937,-0.051259
-0.0083854,0.0028176,-0.10351
-0.0086572,0.0029636,-0.15454
-0.0086436,0.0016379,-0.20261
-0.0059136,0.00086438,-0.24839
-0.0061971,0.00051839,-0.26985
-0.0069378,-0.0014266,-0.26977
-0.0048325,-0.0027131,-0.2659
-0.0034599,-0.0031748,-0.26181
-0.0034594,-0.0037958,-0.25791
-0.0035708,-0.0078207,-0.24905
-0.0030327,-0.013269,-0.18432
-0.0039458,-0.017125,-0.12993
-0.0039741,-0.019856,-0.082831
-0.0039299,-0.018152,-0.040264
-0.002457,-0.016873,-0.00057616
-0.00068208,-0.013718,0.03264
-0.00030441,-0.0089386,0.068351
0.0020145,-0.0026031,0.099163
0.0050091,0.0039794,0.1286
0.0074804,0.0082321,0.11446
0.0094354,0.012089,0.092301
0.011827,0.015228,0.071728
0.014983,0.018453,0.055066
0.015792,0.01987,0.041362
0.017706,0.020333,0.042559
0.036385,0.019989,0.037702
0.063401,0.020018,0.045439
0.097902,0.020926,0.062872
0.12825,0.021829,0.07474
0.1645,0.022448,0.084
0.19983,0.021588,0.087877
0.23696,0.021502,0.087934
0.27159,0.022049,0.08488
0.30119,0.022731,0.079841
0.34533,0.022546,0.040728
0.38923,0.02152,0.00036937
0.43312,0.019595,-0.040744
0.47299,0.016583,-0.076807
0.48375,0.015098,-0.030735
0.49274,0.015361,0.012715
0.50266,0.015377,0.049219
0.51351,0.016002,0.078577
0.53382,0.016371,0.03693
0.55623,0.014482,-0.0098761
0.57534,0.013498,-0.054553
0.59634,0.012277,-0.097828
0.59947,0.012527,-0.050655
0.60241,0.012333,-0.011234
0.60672,0.012849,0.010804
0.61383,0.012424,0.0049217
0.61911,0.011058,-0.0057098
0.62413,0.0098532,-0.012355
0.62746,0.0089027,-0.016148
0.63821,0.0065241,-0.065769
0.64092,0.0058314,-0.052805
0.64356,0.0052041,-0.052791
0.64816,0.003984,-0.051203
0.65193,0.0019984,-0.05022
0.6538,-0.00041902,-0.049477
0.65561,-0.001715,-0.048607
0.65883,-0.0024519,-0.047672
0.66116,-0.0047536,-0.044801
0.66169,-0.0046932,-0.041988
0.66131,-0.0040621,-0.039251
0.66138,-0.0038542,-0.037312
0.6615,-0.0026554,-0.0351
0.66284,-0.0015398,-0.031948
0.66319,-0.0014059,-0.030111
0.66315,-0.0005215,-0.028144
0.66241,-0.0011241,-0.027074
0.66437,-0.00097567,-0.02579
0.6646,-0.0008136,-0.023134
0.6671,-9.2132e-05,-0.022673
0.66844,0.00031634,-0.021893
0.6709,0.00091464,-0.020737
0.67337,0.00054613,-0.019437
0.67551,-0.00021662,-0.020163
0.67728,-0.0012581,-0.019395
0.67992,-0.001155,-0.017756
0.68093,-0.00088162,-0.016823
0.6818,-0.0010318,-0.016357
0.68308,-0.0015738,-0.01507
0.6823,-0.00082292,-0.014017
0.67543,-0.00095195,-0.0078057
0.65473,-0.0011139,-0.054485
0.6309,-0.0012975,-0.10128
0.61076,-0.00031252,-0.10856
0.59596,-0.0010795,-0.093542
0.5826,-0.00072761,-0.071303
0.57026,-0.00064928,-0.048748
0.55696,0.0011799,-0.030678
0.54679,0.00261,-0.01514
0.53331,0.0039816,-0.0024301
0.52498,0.0056343,0.0054547
0.51386,0.0063777,0.012115
0.50482,0.0066049,0.01689
0.49697,0.0072889,0.019979
0.48935,0.0089124,0.021436
0.48162,0.0090436,0.020752
0.47633,0.0084991,0.021166
0.47197,0.0088152,0.019409
